Specimen label,"i20_45_1"
End date,"8/17/2018 5:49 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"14.69697",mm
Maximum Load,"73.70555",N
Tensile stress at Yield (Offset 0.2 %),,MPa
Modulus,"2166.82306",MPa
Tensile strain (Video axial strain) at Maximum Load,"-0.00009",mm/mm
Tensile stress at Maximum Load,"5.58268",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","-1.43769","-0.10889","-0.00008"
"0.10000","0.00783","0.13120","0.00994","0.00017"
"0.20000","0.02876","7.93794","0.60124","0.00049"
"0.30000","0.04945","16.80199","1.27263","0.00093"
"0.40000","0.06720","23.77847","1.80105","0.00131"
"0.50000","0.08394","30.00397","2.27259","0.00151"
"0.60000","0.10033","35.91553","2.72035","0.00182"
"0.70000","0.11701","41.97084","3.17900","0.00213"
"0.80000","0.13375","47.61743","3.60669","0.00230"
"0.90000","0.15037","53.29479","4.03671","0.00252"
"1.00000","0.16699","58.68525","4.44500","0.00286"
"1.10000","0.18367","63.74051","4.82790","0.00311"
"1.20000","0.20035","68.25264","5.16966","0.00327"
"1.30000","0.21710","70.44314","5.33557","0.00295"
"1.40000","0.23366","65.46001","4.95814","0.00207"
"1.50000","0.25040","68.74519","5.20697","0.00203"
"1.60000","0.26702","71.68540","5.42967","0.00183"
"1.70000","0.28358","72.56806","5.49652","0.00158"
"1.80000","0.30032","72.58975","5.49816","0.00135"
"1.90000","0.31700","72.82639","5.51609","0.00088"
"2.00000","0.33363","73.15621","5.54107","0.00074"
"2.10000","0.35043","73.63660","5.57746","0.00045"
"2.20000","0.36687","73.66804","5.57984","0.00017"
"2.30000","0.38367","73.70555","5.58268","-0.00009"
"2.40000","0.40029","73.15675","5.54111","-0.00039"
"2.50000","0.41697","70.89615","5.36989","-0.00062"
"2.60000","0.43365","70.78082","5.36115","-0.00094"
"2.70000","0.45033","71.08171","5.38394","-0.00123"
"2.80000","0.46690","70.77511","5.36072","-0.00090"
"2.90000","0.48370","70.85766","5.36697","-0.00121"
"3.00000","0.50026","71.07489","5.38342","-0.00119"
