Specimen label,"80i_45_3"
End date,"9/18/2018 12:07 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"14.81213",mm
Maximum Load,"373.31827",N
Tensile stress at Yield (Offset 0.2 %),"13.37909",MPa
Modulus,"3664.14296",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.01781",mm/mm
Tensile stress at Maximum Load,"28.27624",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","-1.47050","-0.11138","-0.00005"
"0.10000","0.00813","-0.17675","-0.01339","0.00001"
"0.20000","0.02834","12.52316","0.94854","0.00058"
"0.30000","0.04915","27.24144","2.06335","0.00076"
"0.40000","0.06714","39.49072","2.99114","0.00135"
"0.50000","0.08388","50.84935","3.85148","0.00126"
"0.60000","0.10045","61.61662","4.66703","0.00162"
"0.70000","0.11707","72.21694","5.46993","0.00156"
"0.80000","0.13369","83.08607","6.29319","0.00206"
"0.90000","0.15043","93.69070","7.09641","0.00222"
"1.00000","0.16705","103.74256","7.85777","0.00253"
"1.10000","0.18367","113.56403","8.60168","0.00285"
"1.20000","0.20041","123.92098","9.38614","0.00325"
"1.30000","0.21704","134.11401","10.15820","0.00413"
"1.40000","0.23372","143.78127","10.89042","0.00448"
"1.50000","0.25034","153.24228","11.60703","0.00502"
"1.60000","0.26696","162.83473","12.33359","0.00537"
"1.70000","0.28376","172.47461","13.06374","0.00578"
"1.80000","0.30026","181.95113","13.78152","0.00613"
"1.90000","0.31700","191.44299","14.50046","0.00618"
"2.00000","0.33369","200.31476","15.17244","0.00680"
"2.10000","0.35031","209.39026","15.85984","0.00730"
"2.20000","0.36699","218.39792","16.54211","0.00740"
"2.30000","0.38367","226.79153","17.17787","0.00779"
"2.40000","0.40035","234.92085","17.79361","0.00795"
"2.50000","0.41697","243.46019","18.44040","0.00813"
"2.60000","0.43365","251.98961","19.08644","0.00845"
"2.70000","0.45033","259.60901","19.66356","0.00899"
"2.80000","0.46696","267.39920","20.25361","0.00933"
"2.90000","0.48358","275.82651","20.89192","0.00957"
"3.00000","0.50038","282.92487","21.42957","0.00983"
"3.10000","0.51694","290.23706","21.98342","0.01020"
"3.20000","0.53362","297.20627","22.51129","0.01068"
"3.30000","0.55036","303.31497","22.97398","0.01100"
"3.40000","0.56692","310.47440","23.51626","0.01124"
"3.50000","0.58361","316.52057","23.97421","0.01151"
"3.60000","0.60035","323.17221","24.47803","0.01183"
"3.70000","0.61691","328.01520","24.84485","0.01220"
"3.80000","0.63365","334.22971","25.31556","0.01237"
"3.90000","0.65027","338.69434","25.65372","0.01286"
"4.00000","0.66695","343.64447","26.02866","0.01308"
"4.10000","0.68369","348.57883","26.40240","0.01339"
"4.20000","0.70026","352.27567","26.68241","0.01357"
"4.30000","0.71700","357.15610","27.05207","0.01416"
"4.40000","0.73362","359.55682","27.23391","0.01452"
"4.50000","0.75030","363.16336","27.50708","0.01475"
"4.60000","0.76698","366.54828","27.76346","0.01520"
"4.70000","0.78360","368.58963","27.91808","0.01556"
"4.80000","0.80028","370.74664","28.08146","0.01614"
"4.90000","0.81690","371.98740","28.17543","0.01648"
"5.00000","0.83365","373.16367","28.26453","0.01705"
"5.10000","0.85027","373.31827","28.27624","0.01781"
"5.20000","0.86701","372.22263","28.19325","0.01845"
"5.30000","0.88363","370.47260","28.06070","0.01916"
"5.40000","0.90031","367.63989","27.84614","0.02009"
"5.50000","0.91705","364.45706","27.60506","0.02101"
"5.60000","0.93355","359.62338","27.23895","0.02223"
"5.70000","0.95035","356.17926","26.97808","0.02340"
"5.80000","0.96698","350.80496","26.57101","0.02451"
"5.90000","0.98366","346.72125","26.26170","0.02582"
"6.00000","1.00034","341.29236","25.85050","0.02705"
"6.10000","1.01696","335.05368","25.37797","0.02855"
"6.20000","1.03364","327.16592","24.78052","0.02970"
"6.30000","1.05038","318.86908","24.15210","0.03138"
"6.40000","1.06688","309.78250","23.46385","0.03284"
"6.50000","1.08375","298.31796","22.59549","0.03457"
"6.60000","1.10031","254.94817","19.31053","0.03751"
"6.70000","1.11699","223.58684","16.93513","0.04046"
"6.80000","1.13373","211.21950","15.99839","0.04255"
"6.90000","1.15029","203.35791","15.40294","0.04414"
"7.00000","1.16697","195.61238","14.81627","0.04586"
"7.10000","1.18371","186.76328","14.14601","0.04785"
"7.20000","1.20022","177.75703","13.46385","0.04960"
"7.30000","1.21702","171.55447","12.99405","0.05117"
"7.40000","1.23364","165.64291","12.54629","0.05268"
"7.50000","1.25032","160.34982","12.14537","0.05426"
"7.60000","1.26700","154.45863","11.69916","0.05603"
"7.60400","1.26772","154.15387","11.67607","0.05611"
