Specimen label,"i20T_60_2"
End date,"8/17/2018 6:28 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"14.57530",mm
Maximum Load,"259.13196",N
Tensile stress at Yield (Offset 0.2 %),"18.12832",MPa
Modulus,"1658.04855",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.01999",mm/mm
Tensile stress at Maximum Load,"19.62743",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","0.09213","0.00698","0.00009"
"0.10000","0.00849","2.31169","0.17509","0.00001"
"0.20000","0.02930","15.94753","1.20791","0.00054"
"0.30000","0.04945","30.37338","2.30057","0.00136"
"0.40000","0.06720","42.46497","3.21642","0.00194"
"0.50000","0.08388","53.42164","4.04631","0.00267"
"0.60000","0.10039","63.94281","4.84322","0.00326"
"0.70000","0.11707","74.51592","5.64406","0.00370"
"0.80000","0.13369","84.80106","6.42308","0.00428"
"0.90000","0.15031","94.97407","7.19362","0.00480"
"1.00000","0.16705","104.81223","7.93879","0.00534"
"1.10000","0.18361","114.49524","8.67221","0.00576"
"1.20000","0.20035","124.00922","9.39283","0.00629"
"1.30000","0.21704","133.28188","10.09517","0.00681"
"1.40000","0.23372","142.19894","10.77057","0.00721"
"1.50000","0.25034","151.09311","11.44424","0.00767"
"1.60000","0.26702","159.48221","12.07966","0.00814"
"1.70000","0.28370","167.78532","12.70856","0.00830"
"1.80000","0.30032","175.63042","13.30277","0.00874"
"1.90000","0.31700","183.30403","13.88399","0.00892"
"2.00000","0.33369","191.04239","14.47012","0.00907"
"2.10000","0.35037","198.39299","15.02688","0.00949"
"2.20000","0.36693","205.30263","15.55023","0.01002"
"2.30000","0.38367","212.13040","16.06739","0.01051"
"2.40000","0.40035","218.68394","16.56377","0.01126"
"2.50000","0.41697","224.73917","17.02242","0.01176"
"2.60000","0.43365","230.67975","17.47237","0.01252"
"2.70000","0.45033","236.14610","17.88641","0.01330"
"2.80000","0.46702","240.89050","18.24577","0.01385"
"2.90000","0.48364","245.12360","18.56639","0.01456"
"3.00000","0.50032","248.92480","18.85431","0.01512"
"3.10000","0.51700","252.61572","19.13387","0.01592"
"3.20000","0.53368","254.83685","19.30210","0.01641"
"3.30000","0.55024","257.00302","19.46618","0.01700"
"3.40000","0.56698","258.31125","19.56526","0.01805"
"3.50000","0.58361","259.12366","19.62680","0.01895"
"3.60000","0.60029","259.13196","19.62743","0.01999"
"3.70000","0.61703","258.23880","19.55978","0.02102"
"3.80000","0.63359","256.85394","19.45488","0.02199"
"3.90000","0.65033","254.36270","19.26619","0.02350"
"4.00000","0.66695","251.26607","19.03164","0.02468"
"4.10000","0.68357","247.09319","18.71557","0.02591"
"4.20000","0.70037","241.40149","18.28447","0.02732"
"4.30000","0.71688","233.41920","17.67987","0.02896"
"4.40000","0.73362","117.22150","8.87871","0.04155"
"4.41600","0.73637","77.50107","5.87016","0.04294"
