Specimen label,"40i_60_1"
End date,"9/18/2018 11:41 AM"
Area,"13.20254",mm^2
Axial Gauge Length,"12.54122",mm
Maximum Load,"321.46936",N
Tensile stress at Yield (Offset 0.2 %),"20.23904",MPa
Modulus,"2271.36639",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.01573",mm/mm
Tensile stress at Maximum Load,"24.34905",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00006","-0.02778","-0.00210","-0.00008"
"0.10000","0.00849","1.99022","0.15074","0.00000"
"0.20000","0.02894","14.41733","1.09201","0.00076"
"0.30000","0.04933","28.65366","2.17031","0.00119"
"0.40000","0.06714","41.21530","3.12177","0.00137"
"0.50000","0.08382","52.55383","3.98058","0.00197"
"0.60000","0.10051","63.31936","4.79600","0.00235"
"0.70000","0.11707","74.30804","5.62831","0.00273"
"0.80000","0.13369","85.27760","6.45918","0.00302"
"0.90000","0.15043","95.64452","7.24440","0.00368"
"1.00000","0.16705","106.27193","8.04935","0.00413"
"1.10000","0.18373","116.80463","8.84713","0.00468"
"1.20000","0.20041","127.12255","9.62864","0.00488"
"1.30000","0.21704","136.82095","10.36323","0.00534"
"1.40000","0.23378","146.97597","11.13240","0.00565"
"1.50000","0.25040","157.15929","11.90371","0.00638"
"1.60000","0.26696","166.78523","12.63281","0.00662"
"1.70000","0.28370","176.29993","13.35348","0.00720"
"1.80000","0.30026","185.69502","14.06509","0.00736"
"1.90000","0.31706","195.14748","14.78105","0.00770"
"2.00000","0.33375","204.39818","15.48173","0.00808"
"2.10000","0.35031","213.22884","16.15059","0.00861"
"2.20000","0.36705","221.83798","16.80267","0.00910"
"2.30000","0.38373","230.94917","17.49278","0.00959"
"2.40000","0.40035","239.54121","18.14357","0.00975"
"2.50000","0.41703","247.34084","18.73433","0.00991"
"2.60000","0.43365","255.26765","19.33473","0.01047"
"2.70000","0.45033","263.03879","19.92334","0.01068"
"2.80000","0.46696","269.69843","20.42776","0.01136"
"2.90000","0.48364","277.23157","20.99835","0.01173"
"3.00000","0.50026","283.96320","21.50822","0.01194"
"3.10000","0.51706","290.30368","21.98847","0.01223"
"3.20000","0.53362","295.96771","22.41748","0.01275"
"3.30000","0.55036","301.25003","22.81758","0.01319"
"3.40000","0.56704","306.72504","23.23227","0.01341"
"3.50000","0.58367","311.08313","23.56236","0.01388"
"3.60000","0.60035","314.44312","23.81686","0.01435"
"3.70000","0.61703","317.65848","24.06040","0.01477"
"3.80000","0.63365","319.86258","24.22735","0.01510"
"3.90000","0.65039","321.46936","24.34905","0.01573"
"4.00000","0.66695","320.91614","24.30715","0.01620"
"4.10000","0.68363","315.51660","23.89817","0.01668"
"4.16800","0.69505","91.92124","6.96239","0.00479"
