Specimen label,"i80_60_1"
End date,"8/16/2018 5:04 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"15.97869",mm
Maximum Load,"401.18454",N
Tensile stress at Yield (Offset 0.2 %),"20.94132",MPa
Modulus,"3186.22397",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.02158",mm/mm
Tensile stress at Maximum Load,"30.38691",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","-6.78952","-0.51426","0.00000"
"0.10000","0.00777","-4.70047","-0.35603","0.00009"
"0.20000","0.02858","10.08558","0.76391","0.00057"
"0.30000","0.04939","26.38783","1.99869","0.00107"
"0.40000","0.06732","39.78949","3.01377","0.00153"
"0.50000","0.08400","51.64516","3.91176","0.00206"
"0.60000","0.10057","62.85743","4.76101","0.00231"
"0.70000","0.11719","74.09441","5.61213","0.00330"
"0.80000","0.13375","85.04697","6.44171","0.00371"
"0.90000","0.15049","95.76484","7.25351","0.00351"
"1.00000","0.16711","106.15936","8.04083","0.00374"
"1.10000","0.18373","116.20943","8.80205","0.00396"
"1.20000","0.20047","126.05602","9.54786","0.00422"
"1.30000","0.21710","135.42665","10.25762","0.00457"
"1.40000","0.23378","144.41176","10.93818","0.00495"
"1.50000","0.25046","152.88335","11.57984","0.00521"
"1.60000","0.26708","161.01208","12.19554","0.00554"
"1.70000","0.28382","168.67975","12.77631","0.00571"
"1.80000","0.30044","175.42172","13.28696","0.00610"
"1.90000","0.31706","181.64345","13.75822","0.00641"
"2.00000","0.33375","186.85457","14.15292","0.00629"
"2.10000","0.35037","191.27177","14.48749","0.00701"
"2.20000","0.36705","194.74620","14.75066","0.00678"
"2.30000","0.38373","197.63660","14.96959","0.00688"
"2.40000","0.40041","199.85730","15.13779","0.00693"
"2.50000","0.41709","206.93919","15.67419","0.00729"
"2.60000","0.43365","214.39046","16.23857","0.00726"
"2.70000","0.45039","222.24261","16.83332","0.00779"
"2.80000","0.46708","230.03452","17.42350","0.00785"
"2.90000","0.48370","237.47054","17.98673","0.00819"
"3.00000","0.50032","244.99394","18.55657","0.00848"
"3.10000","0.51706","252.58971","19.13190","0.00873"
"3.20000","0.53368","259.68683","19.66945","0.00904"
