Specimen label,"i100_60_1"
End date,"8/16/2018 4:12 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"14.35739",mm
Maximum Load,"412.90347",N
Tensile stress at Yield (Offset 0.2 %),"28.74146",MPa
Modulus,"2110.10432",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.02159",mm/mm
Tensile stress at Maximum Load,"31.27454",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","3.89983","0.29538","-0.00001"
"0.10000","0.00891","7.26056","0.54994","0.00021"
"0.20000","0.02972","23.36202","1.76951","0.00068"
"0.30000","0.04969","40.25170","3.04878","0.00131"
"0.40000","0.06726","54.67495","4.14124","0.00234"
"0.50000","0.08388","67.91156","5.14382","0.00288"
"0.60000","0.10045","80.86839","6.12521","0.00273"
"0.70000","0.11713","93.78519","7.10357","0.00327"
"0.80000","0.13369","106.47586","8.06480","0.00375"
"0.90000","0.15043","119.10825","9.02161","0.00411"
"1.00000","0.16705","131.54573","9.96367","0.00466"
"1.10000","0.18373","143.83594","10.89456","0.00508"
"1.20000","0.20035","156.05174","11.81982","0.00556"
"1.30000","0.21704","168.17047","12.73773","0.00604"
"1.40000","0.23372","180.25836","13.65331","0.00648"
"1.50000","0.25040","192.25819","14.56221","0.00682"
"1.60000","0.26702","204.05333","15.45561","0.00730"
"1.70000","0.28370","215.80789","16.34593","0.00773"
"1.80000","0.30038","227.58293","17.23781","0.00820"
"1.90000","0.31700","239.11433","18.11123","0.00917"
"2.00000","0.33375","250.64684","18.98474","0.00989"
"2.10000","0.35031","262.03641","19.84742","0.01039"
"2.20000","0.36711","273.35684","20.70486","0.01097"
"2.30000","0.38367","284.47235","21.54678","0.01137"
"2.40000","0.40029","295.45215","22.37843","0.01172"
"2.50000","0.41703","306.16614","23.18994","0.01218"
"2.60000","0.43365","316.50616","23.97312","0.01273"
"2.70000","0.45033","326.70709","24.74577","0.01290"
"2.80000","0.46702","336.73535","25.50534","0.01301"
"2.90000","0.48364","346.12189","26.21630","0.01353"
"3.00000","0.50032","355.18118","26.90248","0.01407"
"3.10000","0.51700","363.80795","27.55590","0.01465"
"3.20000","0.53368","371.83200","28.16366","0.01500"
"3.30000","0.55030","379.57758","28.75034","0.01560"
"3.40000","0.56698","386.88849","29.30409","0.01662"
"3.50000","0.58367","393.62000","29.81395","0.01755"
"3.60000","0.60041","399.79410","30.28160","0.01805"
"3.70000","0.61697","405.13138","30.68586","0.01878"
"3.80000","0.63365","409.02615","30.98086","0.01961"
"3.90000","0.65033","411.60464","31.17616","0.02040"
"4.00000","0.66701","412.90347","31.27454","0.02159"
"4.10000","0.68363","412.21063","31.22206","0.02204"
"4.20000","0.70037","408.94510","30.97472","0.02316"
"4.30000","0.71694","402.09683","30.45601","0.02460"
"4.40000","0.73368","388.03201","29.39070","0.02733"
"4.50000","0.75036","160.88132","12.18563","0.03061"
"4.50600","0.75138","109.06734","8.26109","0.03061"
