Specimen label,"100i_60_2"
End date,"9/18/2018 11:53 AM"
Area,"13.20254",mm^2
Axial Gauge Length,"13.94874",mm
Maximum Load,"518.33844",N
Tensile stress at Yield (Offset 0.2 %),,MPa
Modulus,"2789.53959",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.01523",mm/mm
Tensile stress at Maximum Load,"39.26050",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00012","-0.21414","-0.01622","0.00017"
"0.10000","0.00849","2.41687","0.18306","0.00005"
"0.20000","0.02894","21.12503","1.60007","0.00075"
"0.30000","0.04945","42.50661","3.21958","0.00131"
"0.40000","0.06726","61.03868","4.62325","0.00183"
"0.50000","0.08400","77.54332","5.87336","0.00237"
"0.60000","0.10063","93.92599","7.11423","0.00277"
"0.70000","0.11713","109.91048","8.32495","0.00328"
"0.80000","0.13387","126.12702","9.55324","0.00372"
"0.90000","0.15049","141.98776","10.75458","0.00440"
"1.00000","0.16717","157.97192","11.96526","0.00500"
"1.10000","0.18385","173.82297","13.16587","0.00544"
"1.20000","0.20053","189.33426","14.34074","0.00581"
"1.30000","0.21722","204.89615","15.51945","0.00636"
"1.40000","0.23378","220.10649","16.67152","0.00679"
"1.50000","0.25046","235.04904","17.80332","0.00729"
"1.60000","0.26720","250.53275","18.97610","0.00780"
"1.70000","0.28382","265.55994","20.11430","0.00832"
"1.80000","0.30044","279.75967","21.18983","0.00836"
"1.90000","0.31718","294.44058","22.30181","0.00911"
"2.00000","0.33380","309.30258","23.42750","0.00949"
"2.10000","0.35043","323.78833","24.52469","0.01011"
"2.20000","0.36717","337.59030","25.57010","0.01046"
"2.30000","0.38373","351.40869","26.61674","0.01101"
"2.40000","0.40047","365.51538","27.68522","0.01128"
"2.50000","0.41715","379.23792","28.72461","0.01189"
"2.60000","0.43377","392.33057","29.71629","0.01231"
"2.70000","0.45051","405.69803","30.72878","0.01273"
"2.80000","0.46696","418.25699","31.68003","0.01321"
"2.90000","0.48388","431.07968","32.65126","0.01357"
"3.00000","0.50044","443.14105","33.56482","0.01376"
"3.10000","0.51706","455.37711","34.49162","0.01428"
"3.20000","0.53380","466.74969","35.35301","0.01472"
"3.30000","0.55042","477.94415","36.20092","0.01497"
"3.40000","0.56710","488.72412","37.01742","0.01526"
"3.50000","0.58378","498.18961","37.73437","0.01569"
"3.60000","0.60041","506.90878","38.39478","0.01573"
"3.70000","0.61715","514.67395","38.98294","0.01540"
"3.80000","0.63377","518.33844","39.26050","0.01523"
"3.90000","0.65039","516.85925","39.14846","0.01453"
"4.00000","0.66713","497.47513","37.68025","0.01227"
"4.06200","0.67748","146.91328","11.12765","0.00625"
