Specimen label,"i100_60_2_supplyment"
End date,"8/16/2018 4:54 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"14.76167",mm
Maximum Load,"345.88339",N
Tensile stress at Yield (Offset 0.2 %),"24.65035",MPa
Modulus,"1971.08429",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.01975",mm/mm
Tensile stress at Maximum Load,"26.19824",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","-4.06928","-0.30822","-0.00005"
"0.10000","0.00903","-0.59778","-0.04528","0.00007"
"0.20000","0.02989","14.26319","1.08034","0.00071"
"0.30000","0.04974","29.20968","2.21243","0.00132"
"0.40000","0.06732","41.75620","3.16274","0.00168"
"0.50000","0.08394","53.26534","4.03448","0.00226"
"0.60000","0.10045","64.42419","4.87968","0.00261"
"0.70000","0.11713","75.56258","5.72334","0.00306"
"0.80000","0.13375","86.42515","6.54610","0.00360"
"0.90000","0.15049","97.13657","7.35741","0.00398"
"1.00000","0.16711","107.71710","8.15881","0.00448"
"1.10000","0.18373","118.19305","8.95229","0.00478"
"1.20000","0.20041","128.36584","9.72281","0.00533"
"1.30000","0.21710","138.46835","10.48801","0.00570"
"1.40000","0.23372","148.25629","11.22937","0.00611"
"1.50000","0.25046","157.96510","11.96475","0.00649"
"1.60000","0.26708","167.57336","12.69251","0.00701"
"1.70000","0.28376","176.97476","13.40460","0.00719"
"1.80000","0.30038","186.16583","14.10076","0.00755"
"1.90000","0.31712","195.17966","14.78349","0.00790"
"2.00000","0.33375","203.98064","15.45010","0.00843"
"2.10000","0.35043","212.59511","16.10259","0.00877"
"2.20000","0.36711","220.72073","16.71805","0.00914"
"2.30000","0.38373","228.81099","17.33083","0.00960"
"2.40000","0.40035","236.48059","17.91175","0.00981"
"2.50000","0.41703","243.76308","18.46334","0.01026"
"2.60000","0.43377","250.88620","19.00287","0.01071"
"2.70000","0.45027","257.69107","19.51829","0.01092"
"2.80000","0.46708","264.28012","20.01736","0.01120"
"2.90000","0.48370","270.23447","20.46836","0.01163"
"3.00000","0.50032","276.22580","20.92216","0.01197"
"3.10000","0.51712","281.73987","21.33982","0.01231"
"3.20000","0.53368","287.00443","21.73857","0.01248"
"3.30000","0.55036","292.15558","22.12873","0.01219"
"3.40000","0.56704","297.06161","22.50033","0.01244"
"3.50000","0.58361","301.49957","22.83648","0.01229"
"3.60000","0.60041","305.61313","23.14805","0.01272"
"3.70000","0.61703","309.79510","23.46481","0.01313"
"3.80000","0.63365","313.65060","23.75683","0.01353"
"3.90000","0.65033","316.81024","23.99615","0.01368"
"4.00000","0.66713","320.55524","24.27981","0.01413"
"4.10000","0.68363","323.09277","24.47201","0.01437"
"4.20000","0.70037","326.55731","24.73442","0.01480"
"4.30000","0.71700","328.79709","24.90407","0.01501"
"4.40000","0.73374","331.20001","25.08608","0.01521"
"4.50000","0.75036","333.19800","25.23741","0.01557"
"4.60000","0.76704","335.20471","25.38940","0.01600"
"4.70000","0.78366","337.77762","25.58428","0.01634"
"4.80000","0.80034","339.03775","25.67973","0.01676"
"4.90000","0.81708","340.87915","25.81920","0.01699"
"5.00000","0.83365","342.77222","25.96259","0.01737"
"5.10000","0.85039","343.57565","26.02345","0.01791"
"5.20000","0.86701","344.37000","26.08361","0.01835"
"5.30000","0.88363","345.27231","26.15195","0.01869"
"5.40000","0.90037","345.83725","26.19474","0.01927"
"5.50000","0.91705","345.88339","26.19824","0.01975"
"5.60000","0.93373","345.29208","26.15345","0.02054"
"5.70000","0.95035","344.21899","26.07217","0.02119"
"5.80000","0.96704","342.88098","25.97083","0.02199"
"5.90000","0.98372","339.14005","25.68748","0.02295"
"6.00000","1.00040","334.08795","25.30482","0.02520"
"6.10000","1.01708","324.39771","24.57085","0.02691"
"6.20000","1.03370","264.65762","20.04596","0.02888"
"6.22000","1.03705","101.74546","7.70650","0.02888"
