Specimen label,"i20T_90_1"
End date,"8/17/2018 6:24 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"12.55222",mm
Maximum Load,"286.72055",N
Tensile stress at Yield (Offset 0.2 %),,MPa
Modulus,"2868.62501",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.00806",mm/mm
Tensile stress at Maximum Load,"21.71707",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","-0.57347","-0.04344","0.00008"
"0.10000","0.00891","2.80212","0.21224","0.00007"
"0.20000","0.02966","18.93268","1.43402","0.00094"
"0.30000","0.04969","35.97071","2.72453","0.00147"
"0.40000","0.06720","50.41427","3.81853","0.00204"
"0.50000","0.08388","63.56387","4.81452","0.00250"
"0.60000","0.10045","76.32479","5.78107","0.00313"
"0.70000","0.11701","89.01594","6.74233","0.00355"
"0.80000","0.13375","101.57227","7.69339","0.00410"
"0.90000","0.15037","113.72328","8.61374","0.00457"
"1.00000","0.16711","125.81822","9.52985","0.00510"
"1.10000","0.18373","137.77316","10.43535","0.00550"
"1.20000","0.20029","149.35091","11.31228","0.00611"
"1.30000","0.21704","160.90768","12.18763","0.00647"
"1.40000","0.23366","172.21921","13.04440","0.00676"
"1.50000","0.25040","183.28094","13.88225","0.00719"
"1.60000","0.26708","194.15067","14.70555","0.00742"
"1.70000","0.28364","204.65271","15.50101","0.00676"
"1.80000","0.30038","214.89786","16.27700","0.00709"
"1.90000","0.31694","224.68237","17.01811","0.00747"
"2.00000","0.33369","234.17381","17.73702","0.00776"
"2.10000","0.35037","243.15317","18.41715","0.00803"
"2.20000","0.36699","251.75751","19.06886","0.00827"
"2.30000","0.38361","259.96533","19.69055","0.00786"
"2.40000","0.40029","267.91769","20.29288","0.00821"
"2.50000","0.41697","275.30856","20.85269","0.00835"
"2.60000","0.43365","282.02283","21.36125","0.00832"
"2.70000","0.45033","286.46683","21.69785","0.00829"
"2.80000","0.46696","286.72055","21.71707","0.00806"
"2.90000","0.48364","188.00496","14.24006","0.00097"
"2.91600","0.48627","84.38273","6.39140","-0.00258"
