End date,"8/16/2018"
Specimen label,"D60L40N5d4"
Maximum Load,"11.33875",N
Extension at Maximum Load,"283.00095",mm
Maximum Slope (Automatic Young's),"0.04222",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00767"
"0.10000","0.02774","0.01128"
"0.20000","0.08992","0.01121"
"0.30000","0.14929","0.01253"
"0.40000","0.20155","0.01699"
"0.50000","0.25141","0.02047"
"0.60000","0.30110","0.02183"
"0.70000","0.35096","0.01945"
"0.80000","0.40101","0.02504"
"0.90000","0.45093","0.03111"
"1.00000","0.50092","0.03227"
"1.10000","0.55096","0.03126"
"1.20000","0.60100","0.03413"
"1.30000","0.65099","0.03536"
"1.40000","0.70091","0.03887"
"1.50000","0.75096","0.04100"
"1.60000","0.80094","0.04376"
"1.70000","0.85104","0.04580"
"1.80000","0.90091","0.04960"
"1.90000","0.95095","0.05086"
"2.00000","1.00106","0.05401"
"2.10000","1.05092","0.05701"
"2.20000","1.10090","0.05882"
"2.30000","1.15095","0.06111"
"2.40000","1.20087","0.06470"
"2.50000","1.25110","0.06706"
"2.60000","1.30096","0.07253"
"2.70000","1.35100","0.07252"
"2.80000","1.40093","0.07608"
"2.90000","1.45103","0.07762"
"3.00000","1.50102","0.08258"
"3.10000","1.55100","0.08470"
"3.20000","1.60098","0.08429"
"3.30000","1.65085","0.08878"
"3.40000","1.70095","0.09045"
"3.50000","1.75100","0.09390"
"3.60000","1.80098","0.09580"
"3.70000","1.85108","0.09783"
"3.80000","1.90095","0.10085"
"3.90000","1.95087","0.10294"
"4.00000","2.00086","0.10572"
"4.10000","2.05102","0.10685"
"4.20000","2.10100","0.11134"
"4.30000","2.15099","0.11340"
"4.40000","2.20097","0.11679"
"4.50000","2.25096","0.11956"
"4.60000","2.30094","0.12185"
"4.70000","2.35092","0.12358"
"4.80000","2.40091","0.12850"
"4.90000","2.45095","0.12822"
"5.00000","2.50094","0.13246"
"5.10000","2.55098","0.13662"
"5.20000","2.60102","0.13743"
"5.30000","2.65101","0.13832"
"5.40000","2.70105","0.14304"
"5.50000","2.75098","0.14500"
"5.60000","2.80096","0.14630"
"5.70000","2.85088","0.14892"
"5.80000","2.90099","0.15138"
"5.90000","2.95103","0.15336"
"6.00000","3.00096","0.15655"
"6.10000","3.05094","0.15735"
"6.20000","3.10092","0.15806"
"6.30000","3.15091","0.16174"
"6.40000","3.20095","0.16103"
"6.50000","3.25100","0.16145"
"6.60000","3.30092","0.16452"
"6.70000","3.35096","0.16372"
"6.80000","3.40107","0.16404"
"6.90000","3.45093","0.16907"
"7.00000","3.50104","0.17643"
"7.10000","3.55096","0.17253"
"7.20000","3.60100","0.17927"
"7.30000","3.65087","0.18079"
"7.40000","3.70091","0.17930"
"7.50000","3.75096","0.18160"
"7.60000","3.80094","0.18478"
"7.70000","3.85104","0.18317"
"7.80000","3.90091","0.18613"
"7.90000","3.95089","0.18785"
"8.00000","4.00106","0.18988"
"8.10000","4.05092","0.18966"
"8.20000","4.10090","0.19100"
"8.30000","4.15095","0.19540"
"8.40000","4.20093","0.19535"
"8.50000","4.25098","0.19564"
"8.60000","4.30102","0.19889"
"8.70000","4.35088","0.20000"
"8.80000","4.40099","0.20041"
"8.90000","4.45097","0.20344"
"9.00000","4.50096","0.20589"
"9.10000","4.55100","0.20622"
"9.20000","4.60092","0.20855"
"9.30000","4.65097","0.20859"
"9.40000","4.70101","0.20863"
"9.50000","4.75094","0.21023"
"9.60000","4.80098","0.21644"
"9.70000","4.85102","0.21632"
"9.80000","4.90095","0.21918"
"9.90000","4.95087","0.22010"
"10.00000","5.00092","0.22025"
"10.10000","5.05090","0.22455"
"10.20000","5.10088","0.22746"
"10.30000","5.15099","0.22886"
"10.40000","5.20097","0.23125"
"10.50000","5.25096","0.23356"
"10.60000","5.30100","0.23472"
"10.70000","5.35092","0.23673"
"10.80000","5.40097","0.23858"
"10.90000","5.45089","0.24047"
"11.00000","5.50094","0.24310"
"11.10000","5.55086","0.24700"
"11.20000","5.60096","0.24747"
"11.30000","5.65095","0.25022"
"11.40000","5.70099","0.25379"
"11.50000","5.75104","0.25465"
"11.60000","5.80090","0.25623"
"11.70000","5.85088","0.25889"
"11.80000","5.90099","0.26084"
"11.90000","5.95097","0.26120"
"12.00000","6.00108","0.26502"
"12.10000","6.05094","0.26618"
"12.20000","6.10086","0.26925"
"12.30000","6.15091","0.27121"
"12.40000","6.20089","0.27364"
"12.50000","6.25100","0.27622"
"12.60000","6.30092","0.27832"
"12.70000","6.35096","0.28243"
"12.80000","6.40089","0.28375"
"12.90000","6.45093","0.28571"
"13.00000","6.50098","0.28880"
"13.10000","6.55096","0.29070"
"13.20000","6.60094","0.29306"
"13.30000","6.65093","0.29636"
"13.40000","6.70091","0.29807"
"13.50000","6.75090","0.29996"
"13.60000","6.80106","0.30301"
"13.70000","6.85092","0.30583"
"13.80000","6.90091","0.30785"
"13.90000","6.95089","0.31070"
"14.00000","7.00094","0.31108"
"14.10000","7.05092","0.31330"
"14.20000","7.10090","0.31629"
"14.30000","7.15095","0.31793"
"14.40000","7.20093","0.32057"
"14.50000","7.25098","0.32347"
"14.60000","7.30090","0.32485"
"14.70000","7.35094","0.32723"
"14.80000","7.40093","0.32999"
"14.90000","7.45109","0.33242"
"15.00000","7.50090","0.33472"
"15.10000","7.55094","0.33726"
"15.20000","7.60092","0.34016"
"15.30000","7.65097","0.34273"
"15.40000","7.70107","0.34408"
"15.50000","7.75088","0.34551"
"15.60000","7.80098","0.34873"
"15.70000","7.85096","0.35107"
"15.80000","7.90095","0.35322"
"15.90000","7.95099","0.35562"
"16.00000","8.00098","0.35831"
"16.10000","8.05090","0.35798"
"16.20000","8.10088","0.36209"
"16.30000","8.15093","0.36396"
"16.40000","8.20097","0.36472"
"16.50000","8.25090","0.36639"
"16.60000","8.30088","0.37062"
"16.70000","8.35104","0.37194"
"16.80000","8.40097","0.37506"
"16.90000","8.45095","0.37860"
"17.00000","8.50099","0.38133"
"17.10000","8.55098","0.38096"
"17.20000","8.60102","0.38280"
"17.30000","8.65095","0.38584"
"17.40000","8.70093","0.38422"
"17.50000","8.75097","0.38807"
"17.60000","8.80090","0.39114"
"17.70000","8.85094","0.39296"
"17.80000","8.90099","0.39469"
"17.90000","8.95097","0.39652"
"18.00000","9.00102","0.39819"
"18.10000","9.05106","0.40045"
"18.20000","9.10092","0.40243"
"18.30000","9.15097","0.40439"
"18.40000","9.20101","0.40634"
"18.50000","9.25094","0.40816"
"18.60000","9.30092","0.41139"
"18.70000","9.35090","0.41383"
"18.80000","9.40107","0.41517"
"18.90000","9.45093","0.41672"
"19.00000","9.50092","0.41932"
"19.10000","9.55090","0.42174"
"19.20000","9.60100","0.42356"
"19.30000","9.65093","0.42543"
"19.40000","9.70091","0.42826"
"19.50000","9.75096","0.42905"
"19.60000","9.80094","0.43207"
"19.70000","9.85092","0.43272"
"19.80000","9.90097","0.43405"
"19.90000","9.95095","0.43724"
"20.00000","10.00088","0.43950"
"20.10000","10.05092","0.44215"
"20.20000","10.10096","0.44246"
"20.30000","10.15095","0.44461"
"20.40000","10.20093","0.44642"
"20.50000","10.25103","0.44831"
"20.60000","10.30090","0.44960"
"20.70000","10.35100","0.45056"
"20.80000","10.40093","0.45346"
"20.90000","10.45097","0.45461"
"21.00000","10.50107","0.45787"
"21.10000","10.55094","0.45890"
"21.20000","10.60098","0.46390"
"21.30000","10.65103","0.46269"
"21.40000","10.70095","0.46575"
"21.50000","10.75094","0.46816"
"21.60000","10.80092","0.46992"
"21.70000","10.85090","0.47235"
"21.80000","10.90101","0.47596"
"21.90000","10.95093","0.48018"
"22.00000","11.00097","0.48010"
"22.10000","11.05090","0.48224"
"22.20000","11.10094","0.48477"
"22.30000","11.15099","0.48693"
"22.40000","11.20103","0.48931"
"22.50000","11.25095","0.49131"
"22.60000","11.30088","0.49282"
"22.70000","11.35092","0.49255"
"22.80000","11.40097","0.49815"
"22.90000","11.45095","0.50018"
"23.00000","11.50094","0.50241"
"23.10000","11.55098","0.50425"
"23.20000","11.60102","0.50584"
"23.30000","11.65083","0.50774"
"23.40000","11.70093","0.50984"
"23.50000","11.75098","0.51376"
"23.60000","11.80096","0.51542"
"23.70000","11.85094","0.51735"
"23.80000","11.90105","0.52161"
"23.90000","11.95091","0.52415"
"24.00000","12.00101","0.52675"
"24.10000","12.05094","0.53025"
"24.20000","12.10098","0.53115"
"24.30000","12.15097","0.53492"
"24.40000","12.20095","0.53668"
"24.50000","12.25093","0.53811"
"24.60000","12.30104","0.54119"
"24.70000","12.35096","0.54572"
"24.80000","12.40107","0.54781"
"24.90000","12.45087","0.54980"
"25.00000","12.50091","0.55150"
"25.10000","12.55096","0.55245"
"25.20000","12.60094","0.55520"
"25.30000","12.65093","0.55981"
"25.40000","12.70091","0.56329"
"25.50000","12.75090","0.56561"
"25.60000","12.80094","0.56311"
"25.70000","12.85098","0.56504"
"25.80000","12.90097","0.56623"
"25.90000","12.95095","0.56764"
"26.00000","13.00088","0.57031"
"26.10000","13.05092","0.57571"
"26.20000","13.10102","0.57748"
"26.30000","13.15095","0.57993"
"26.40000","13.20099","0.58166"
"26.50000","13.25091","0.58346"
"26.60000","13.30102","0.58221"
"26.70000","13.35094","0.58395"
"26.80000","13.40093","0.58444"
"26.90000","13.45091","0.58730"
"27.00000","13.50107","0.58730"
"27.10000","13.55100","0.59178"
"27.20000","13.60098","0.59324"
"27.30000","13.65097","0.59610"
"27.40000","13.70107","0.59770"
"27.50000","13.75100","0.59936"
"27.60000","13.80098","0.60048"
"27.70000","13.85090","0.60205"
"27.80000","13.90095","0.60324"
"27.90000","13.95099","0.60500"
"28.00000","14.00097","0.60647"
"28.10000","14.05096","0.60765"
"28.20000","14.10094","0.60906"
"28.30000","14.15099","0.61053"
"28.40000","14.20091","0.61207"
"28.50000","14.25089","0.61540"
"28.60000","14.30094","0.61898"
"28.70000","14.35086","0.62038"
"28.80000","14.40097","0.62240"
"28.90000","14.45095","0.62593"
"29.00000","14.50100","0.62293"
"29.10000","14.55098","0.62323"
"29.20000","14.60096","0.62545"
"29.30000","14.65089","0.62872"
"29.40000","14.70093","0.63031"
"29.50000","14.75098","0.63353"
"29.60000","14.80102","0.63388"
"29.70000","14.85100","0.63157"
"29.80000","14.90105","0.63740"
"29.90000","14.95097","0.64140"
"30.00000","15.00102","0.64338"
"30.10000","15.05094","0.64536"
"30.20000","15.10098","0.64722"
"30.30000","15.15091","0.64852"
"30.40000","15.20107","0.65456"
