End date,"8/16/2018"
Specimen label,"D32L85N5d4"
Maximum Load,"23.09019",N
Extension at Maximum Load,"77.35085",mm
Maximum Slope (Automatic Young's),"0.34165",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00491"
"0.10000","0.02936","0.01515"
"0.20000","0.09094","0.03528"
"0.30000","0.14941","0.05840"
"0.40000","0.20149","0.07961"
"0.50000","0.25147","0.10076"
"0.60000","0.30110","0.12049"
"0.70000","0.35102","0.14239"
"0.80000","0.40095","0.16281"
"0.90000","0.45087","0.17706"
"1.00000","0.50092","0.18698"
"1.10000","0.55090","0.20029"
"1.20000","0.60094","0.21672"
"1.30000","0.65087","0.22752"
"1.40000","0.70091","0.24484"
"1.50000","0.75084","0.26226"
"1.60000","0.80094","0.28162"
"1.70000","0.85092","0.29945"
"1.80000","0.90091","0.31856"
"1.90000","0.95089","0.33746"
"2.00000","1.00088","0.35688"
"2.10000","1.05086","0.37679"
"2.20000","1.10102","0.39319"
"2.30000","1.15089","0.40862"
"2.40000","1.20093","0.42361"
"2.50000","1.25092","0.43927"
"2.60000","1.30084","0.45400"
"2.70000","1.35094","0.47121"
"2.80000","1.40099","0.49006"
"2.90000","1.45103","0.50898"
"3.00000","1.50084","0.52770"
"3.10000","1.55088","0.54963"
"3.20000","1.60092","0.57215"
"3.30000","1.65097","0.58422"
"3.40000","1.70101","0.59687"
"3.50000","1.75094","0.61094"
"3.60000","1.80092","0.62558"
"3.70000","1.85090","0.64038"
"3.80000","1.90089","0.65717"
"3.90000","1.95099","0.67569"
"4.00000","2.00104","0.69361"
"4.10000","2.05090","0.71198"
"4.20000","2.10094","0.72790"
"4.30000","2.15087","0.74630"
"4.40000","2.20097","0.76250"
"4.50000","2.25090","0.77710"
"4.60000","2.30088","0.79510"
"4.70000","2.35098","0.81157"
"4.80000","2.40091","0.82586"
"4.90000","2.45095","0.84245"
"5.00000","2.50100","0.85750"
"5.10000","2.55098","0.88232"
"5.20000","2.60102","0.89834"
"5.30000","2.65089","0.91559"
"5.40000","2.70087","0.93498"
"5.50000","2.75104","0.95474"
"5.60000","2.80096","0.97292"
"5.70000","2.85088","0.99290"
"5.80000","2.90099","1.00547"
"5.90000","2.95097","1.01752"
"6.00000","3.00102","1.03102"
"6.10000","3.05100","1.04457"
"6.20000","3.10092","1.06022"
"6.30000","3.15103","1.07821"
"6.40000","3.20107","1.09893"
"6.50000","3.25088","1.11947"
"6.60000","3.30098","1.13919"
"6.70000","3.35096","1.16139"
"6.80000","3.40101","1.18091"
"6.90000","3.45093","1.19941"
"7.00000","3.50092","1.21128"
"7.10000","3.55090","1.22330"
"7.20000","3.60100","1.23720"
"7.30000","3.65093","1.24861"
"7.40000","3.70091","1.26718"
"7.50000","3.75090","1.28243"
"7.60000","3.80094","1.29941"
"7.70000","3.85098","1.31738"
"7.80000","3.90085","1.33432"
"7.90000","3.95089","1.35520"
"8.00000","4.00088","1.37406"
"8.10000","4.05092","1.39170"
"8.20000","4.10096","1.41101"
"8.30000","4.15095","1.42749"
"8.40000","4.20093","1.44152"
"8.50000","4.25104","1.45671"
"8.60000","4.30084","1.47533"
"8.70000","4.35100","1.49229"
"8.80000","4.40099","1.50885"
"8.90000","4.45097","1.52648"
"9.00000","4.50090","1.54327"
"9.10000","4.55094","1.56146"
"9.20000","4.60098","1.57866"
"9.30000","4.65091","1.59404"
"9.40000","4.70095","1.60737"
"9.50000","4.75094","1.62381"
"9.60000","4.80086","1.63860"
"9.70000","4.85090","1.65622"
"9.80000","4.90101","1.67149"
"9.90000","4.95093","1.69079"
"10.00000","5.00098","1.71150"
"10.10000","5.05096","1.73435"
"10.20000","5.10094","1.75494"
"10.30000","5.15099","1.77430"
"10.40000","5.20097","1.79301"
"10.50000","5.25096","1.80784"
"10.60000","5.30088","1.82026"
"10.70000","5.35092","1.83456"
"10.80000","5.40097","1.84695"
"10.90000","5.45095","1.85768"
"11.00000","5.50088","1.86622"
"11.10000","5.55098","1.88312"
"11.20000","5.60096","1.90052"
"11.30000","5.65083","1.92369"
"11.40000","5.70081","1.94404"
"11.50000","5.75092","1.96404"
"11.60000","5.80102","1.98661"
"11.70000","5.85100","2.00608"
"11.80000","5.90099","2.02454"
"11.90000","5.95091","2.03953"
"12.00000","6.00096","2.05695"
"12.10000","6.05094","2.07013"
"12.20000","6.10098","2.08621"
"12.30000","6.15097","2.10309"
"12.40000","6.20095","2.11948"
"12.50000","6.25088","2.13425"
"12.60000","6.30098","2.14965"
"12.70000","6.35096","2.16516"
"12.80000","6.40107","2.18301"
"12.90000","6.45087","2.20609"
"13.00000","6.50092","2.22170"
"13.10000","6.55096","2.23677"
"13.20000","6.60088","2.25278"
"13.30000","6.65099","2.26878"
"13.40000","6.70097","2.28491"
"13.50000","6.75096","2.30131"
"13.60000","6.80088","2.32375"
"13.70000","6.85086","2.34370"
"13.80000","6.90097","2.36622"
"13.90000","6.95089","2.38526"
"14.00000","7.00088","2.40173"
"14.10000","7.05098","2.41665"
"14.20000","7.10090","2.43169"
"14.30000","7.15095","2.44299"
"14.40000","7.20099","2.45228"
"14.50000","7.25098","2.46125"
"14.60000","7.30102","2.47611"
"14.70000","7.35088","2.49410"
"14.80000","7.40087","2.52017"
"14.90000","7.45091","2.53664"
"15.00000","7.50096","2.55793"
"15.10000","7.55100","2.58022"
"15.20000","7.60098","2.60025"
"15.30000","7.65091","2.62045"
"15.40000","7.70101","2.64010"
"15.50000","7.75100","2.65590"
"15.60000","7.80092","2.67322"
"15.70000","7.85090","2.68373"
"15.80000","7.90089","2.69427"
"15.90000","7.95093","2.70432"
"16.00000","8.00092","2.71926"
"16.10000","8.05096","2.73473"
"16.20000","8.10094","2.75327"
"16.30000","8.15105","2.77131"
"16.40000","8.20085","2.79419"
"16.50000","8.25090","2.81610"
"16.60000","8.30094","2.83551"
"16.70000","8.35092","2.85341"
"16.80000","8.40097","2.86933"
