End date,"8/16/2018"
Specimen label,"D32L50N6d4"
Maximum Load,"19.30017",N
Extension at Maximum Load,"96.10103",mm
Maximum Slope (Automatic Young's),"0.22871",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00006","0.00716"
"0.10000","0.02768","0.06450"
"0.20000","0.08962","0.06186"
"0.30000","0.14923","0.07890"
"0.40000","0.20179","0.09468"
"0.50000","0.25171","0.10768"
"0.60000","0.30134","0.12353"
"0.70000","0.35120","0.13328"
"0.80000","0.40107","0.14842"
"0.90000","0.45117","0.16375"
"1.00000","0.50098","0.17261"
"1.10000","0.55102","0.18159"
"1.20000","0.60106","0.18724"
"1.30000","0.65105","0.19240"
"1.40000","0.70103","0.20091"
"1.50000","0.75096","0.21105"
"1.60000","0.80106","0.22081"
"1.70000","0.85110","0.23418"
"1.80000","0.90109","0.24326"
"1.90000","0.95107","0.26005"
"2.00000","1.00106","0.27588"
"2.10000","1.05104","0.28771"
"2.20000","1.10102","0.29948"
"2.30000","1.15107","0.31285"
"2.40000","1.20099","0.32556"
"2.50000","1.25110","0.33830"
"2.60000","1.30096","0.35181"
"2.70000","1.35112","0.36447"
"2.80000","1.40111","0.37458"
"2.90000","1.45109","0.38826"
"3.00000","1.50108","0.39777"
"3.10000","1.55106","0.40718"
"3.20000","1.60098","0.41610"
"3.30000","1.65115","0.42360"
"3.40000","1.70113","0.43878"
"3.50000","1.75118","0.45224"
"3.60000","1.80104","0.46500"
"3.70000","1.85102","0.47447"
"3.80000","1.90101","0.48579"
"3.90000","1.95105","0.49558"
"4.00000","2.00116","0.50967"
"4.10000","2.05096","0.52523"
"4.20000","2.10106","0.53500"
"4.30000","2.15099","0.55161"
"4.40000","2.20103","0.56494"
"4.50000","2.25114","0.57514"
"4.60000","2.30106","0.58626"
"4.70000","2.35110","0.59448"
"4.80000","2.40097","0.60399"
"4.90000","2.45107","0.61271"
"5.00000","2.50106","0.62050"
"5.10000","2.55110","0.62998"
"5.20000","2.60108","0.64000"
"5.30000","2.65113","0.65161"
"5.40000","2.70099","0.66777"
"5.50000","2.75110","0.68398"
"5.60000","2.80108","0.69285"
"5.70000","2.85106","0.70653"
"5.80000","2.90111","0.71567"
"5.90000","2.95109","0.72963"
"6.00000","3.00108","0.74109"
"6.10000","3.05100","0.75463"
"6.20000","3.10110","0.77084"
"6.30000","3.15115","0.78067"
"6.40000","3.20107","0.78853"
"6.50000","3.25100","0.79725"
"6.60000","3.30116","0.80978"
"6.70000","3.35108","0.81699"
"6.80000","3.40107","0.82883"
"6.90000","3.45111","0.84060"
"7.00000","3.50110","0.85089"
"7.10000","3.55108","0.86445"
"7.20000","3.60106","0.87595"
"7.30000","3.65111","0.88946"
"7.40000","3.70103","0.90167"
"7.50000","3.75114","0.91500"
"7.60000","3.80106","0.92696"
"7.70000","3.85104","0.93949"
"7.80000","3.90109","0.95463"
"7.90000","3.95113","0.96710"
"8.00000","4.00100","0.98305"
"8.10000","4.05104","0.99607"
"8.20000","4.10114","1.00629"
"8.30000","4.15113","1.01470"
"8.40000","4.20105","1.01848"
"8.50000","4.25110","1.02621"
"8.60000","4.30114","1.03616"
"8.70000","4.35112","1.04553"
"8.80000","4.40111","1.05774"
"8.90000","4.45115","1.06888"
"9.00000","4.50114","1.08329"
"9.10000","4.55106","1.09621"
"9.20000","4.60104","1.11246"
"9.30000","4.65109","1.12548"
"9.40000","4.70107","1.13805"
"9.50000","4.75112","1.15354"
"9.60000","4.80116","1.16488"
"9.70000","4.85102","1.17910"
"9.80000","4.90107","1.19336"
"9.90000","4.95111","1.20170"
"10.00000","5.00104","1.21152"
"10.10000","5.05108","1.21930"
"10.20000","5.10106","1.22777"
"10.30000","5.15117","1.23568"
"10.40000","5.20109","1.24526"
"10.50000","5.25102","1.25311"
"10.60000","5.30106","1.26657"
"10.70000","5.35098","1.27878"
"10.80000","5.40109","1.29319"
"10.90000","5.45107","1.30220"
"11.00000","5.50112","1.31215"
"11.10000","5.55110","1.32411"
"11.20000","5.60108","1.33605"
"11.30000","5.65107","1.34927"
"11.40000","5.70099","1.36441"
"11.50000","5.75104","1.38030"
"11.60000","5.80108","1.39265"
"11.70000","5.85112","1.40595"
"11.80000","5.90111","1.41616"
"11.90000","5.95109","1.42538"
"12.00000","6.00114","1.43457"
"12.10000","6.05106","1.44466"
"12.20000","6.10116","1.45445"
"12.30000","6.15103","1.46456"
"12.40000","6.20107","1.47535"
"12.50000","6.25112","1.48765"
"12.60000","6.30110","1.50183"
"12.70000","6.35114","1.51366"
"12.80000","6.40113","1.52634"
"12.90000","6.45111","1.53913"
"13.00000","6.50109","1.55261"
"13.10000","6.55102","1.55885"
"13.20000","6.60106","1.56835"
"13.30000","6.65111","1.58104"
"13.40000","6.70109","1.59315"
"13.50000","6.75108","1.60154"
"13.60000","6.80094","1.61125"
"13.70000","6.85104","1.61998"
"13.80000","6.90103","1.62634"
"13.90000","6.95113","1.63791"
"14.00000","7.00100","1.64803"
"14.10000","7.05104","1.66101"
"14.20000","7.10108","1.67451"
"14.30000","7.15101","1.68671"
"14.40000","7.20111","1.70055"
"14.50000","7.25110","1.71573"
"14.60000","7.30114","1.73308"
"14.70000","7.35118","1.75031"
"14.80000","7.40111","1.75877"
"14.90000","7.45109","1.77042"
"15.00000","7.50108","1.78235"
"15.10000","7.55112","1.79346"
"15.20000","7.60110","1.81253"
"15.30000","7.65109","1.82048"
"15.40000","7.70101","1.83179"
"15.50000","7.75117","1.83731"
"15.60000","7.80110","1.84421"
"15.70000","7.85108","1.84922"
"15.80000","7.90101","1.85443"
"15.90000","7.95105","1.86188"
"16.00000","8.00109","1.87227"
"16.10000","8.05114","1.88577"
"16.20000","8.10112","1.89801"
"16.30000","8.15111","1.91059"
"16.40000","8.20103","1.92053"
"16.50000","8.25107","1.93362"
"16.60000","8.30106","1.95407"
"16.70000","8.35110","1.97262"
"16.80000","8.40103","1.98475"
"16.90000","8.45107","1.99683"
"17.00000","8.50105","2.00760"
"17.10000","8.55104","2.02385"
