End date,"8/16/2018"
Specimen label,"D32L50N5d2"
Maximum Load,"1.85787",N
Extension at Maximum Load,"153.77586",mm
Maximum Slope (Automatic Young's),"0.01484",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.00006","0.01030"
"0.10000","0.02792","0.01165"
"0.20000","0.09004","0.00960"
"0.30000","0.14929","0.01155"
"0.40000","0.20155","0.01297"
"0.50000","0.25153","0.01832"
"0.60000","0.30122","0.01409"
"0.70000","0.35102","0.01750"
"0.80000","0.40101","0.01485"
"0.90000","0.45093","0.01500"
"1.00000","0.50104","0.01779"
"1.10000","0.55102","0.02031"
"1.20000","0.60100","0.01850"
"1.30000","0.65093","0.01888"
"1.40000","0.70103","0.01987"
"1.50000","0.75090","0.02130"
"1.60000","0.80100","0.02307"
"1.70000","0.85104","0.02489"
"1.80000","0.90097","0.02626"
"1.90000","0.95089","0.02649"
"2.00000","1.00094","0.02516"
"2.10000","1.05098","0.02717"
"2.20000","1.10096","0.02759"
"2.30000","1.15101","0.02855"
"2.40000","1.20087","0.03016"
"2.50000","1.25098","0.03134"
"2.60000","1.30096","0.03204"
"2.70000","1.35094","0.03319"
"2.80000","1.40105","0.03444"
"2.90000","1.45097","0.03525"
"3.00000","1.50096","0.03518"
"3.10000","1.55088","0.03663"
"3.20000","1.60098","0.03838"
"3.30000","1.65097","0.03813"
"3.40000","1.70101","0.04098"
"3.50000","1.75100","0.03835"
"3.60000","1.80092","0.03995"
"3.70000","1.85084","0.04472"
"3.80000","1.90101","0.04543"
"3.90000","1.95105","0.04224"
"4.00000","2.00110","0.04329"
"4.10000","2.05096","0.04608"
"4.20000","2.10094","0.04532"
"4.30000","2.15093","0.04846"
"4.40000","2.20091","0.04927"
"4.50000","2.25108","0.05000"
"4.60000","2.30088","0.04962"
"4.70000","2.35092","0.04880"
"4.80000","2.40085","0.05307"
"4.90000","2.45101","0.05036"
"5.00000","2.50100","0.05394"
"5.10000","2.55098","0.05338"
"5.20000","2.60096","0.05489"
"5.30000","2.65095","0.05440"
"5.40000","2.70099","0.05666"
"5.50000","2.75098","0.05661"
"5.60000","2.80096","0.05748"
"5.70000","2.85094","0.05950"
"5.80000","2.90105","0.05928"
"5.90000","2.95091","0.06041"
"6.00000","3.00102","0.06125"
"6.10000","3.05100","0.06301"
"6.20000","3.10092","0.06389"
"6.30000","3.15103","0.06427"
"6.40000","3.20101","0.06466"
"6.50000","3.25094","0.06481"
"6.60000","3.30092","0.06454"
"6.70000","3.35102","0.06845"
"6.80000","3.40101","0.06923"
"6.90000","3.45099","0.06754"
"7.00000","3.50092","0.07093"
"7.10000","3.55108","0.07185"
"7.20000","3.60094","0.07123"
"7.30000","3.65093","0.07294"
"7.40000","3.70103","0.07352"
"7.50000","3.75096","0.07414"
"7.60000","3.80100","0.07632"
"7.70000","3.85098","0.07714"
"7.80000","3.90103","0.07462"
"7.90000","3.95101","0.07856"
"8.00000","4.00106","0.07601"
"8.10000","4.05098","0.07868"
"8.20000","4.10096","0.08117"
"8.30000","4.15095","0.08112"
"8.40000","4.20105","0.08021"
"8.50000","4.25092","0.08099"
"8.60000","4.30090","0.08297"
"8.70000","4.35100","0.08390"
"8.80000","4.40105","0.08608"
"8.90000","4.45097","0.08713"
"9.00000","4.50096","0.08772"
"9.10000","4.55106","0.08648"
"9.20000","4.60104","0.08775"
"9.30000","4.65103","0.08872"
"9.40000","4.70101","0.09041"
"9.50000","4.75106","0.09070"
"9.60000","4.80092","0.09173"
"9.70000","4.85102","0.09388"
"9.80000","4.90095","0.09511"
"9.90000","4.95099","0.09643"
"10.00000","5.00104","0.09800"
"10.10000","5.05108","0.09630"
"10.20000","5.10094","0.09599"
"10.30000","5.15099","0.09691"
"10.40000","5.20097","0.10040"
"10.50000","5.25102","0.09868"
"10.60000","5.30100","0.10375"
"10.70000","5.35092","0.10320"
"10.80000","5.40103","0.10347"
"10.90000","5.45101","0.10353"
"11.00000","5.50094","0.10438"
"11.10000","5.55098","0.10347"
"11.20000","5.60090","0.10558"
"11.30000","5.65101","0.10870"
"11.40000","5.70099","0.10827"
"11.50000","5.75104","0.11220"
"11.60000","5.80102","0.10960"
"11.70000","5.85100","0.10845"
"11.80000","5.90099","0.11039"
"11.90000","5.95091","0.11192"
"12.00000","6.00090","0.11220"
"12.10000","6.05100","0.11516"
"12.20000","6.10098","0.11571"
"12.30000","6.15097","0.11459"
"12.40000","6.20101","0.11545"
"12.50000","6.25100","0.11603"
"12.60000","6.30098","0.11757"
"12.70000","6.35114","0.11831"
"12.80000","6.40095","0.11977"
"12.90000","6.45093","0.12034"
"13.00000","6.50104","0.12061"
"13.10000","6.55096","0.12196"
"13.20000","6.60100","0.12291"
"13.30000","6.65099","0.12407"
"13.40000","6.70103","0.12362"
"13.50000","6.75102","0.12408"
"13.60000","6.80088","0.12631"
"13.70000","6.85092","0.12566"
"13.80000","6.90103","0.12546"
"13.90000","6.95095","0.12797"
"14.00000","7.00100","0.13065"
"14.10000","7.05086","0.12906"
"14.20000","7.10096","0.13173"
"14.30000","7.15101","0.13108"
"14.40000","7.20105","0.12863"
"14.50000","7.25092","0.13442"
"14.60000","7.30096","0.13486"
"14.70000","7.35094","0.13436"
"14.80000","7.40099","0.13260"
"14.90000","7.45103","0.13157"
"15.00000","7.50096","0.13537"
"15.10000","7.55106","0.14029"
"15.20000","7.60104","0.13728"
"15.30000","7.65103","0.14082"
"15.40000","7.70095","0.14180"
"15.50000","7.75100","0.13732"
"15.60000","7.80104","0.14108"
"15.70000","7.85102","0.14332"
"15.80000","7.90101","0.14200"
"15.90000","7.95093","0.14577"
"16.00000","8.00103","0.14567"
"16.10000","8.05102","0.14518"
"16.20000","8.10094","0.14705"
"16.30000","8.15093","0.14861"
"16.40000","8.20097","0.14835"
"16.50000","8.25096","0.14900"
"16.60000","8.30100","0.14969"
"16.70000","8.35098","0.15211"
"16.80000","8.40103","0.15202"
"16.90000","8.45095","0.15176"
"17.00000","8.50094","0.15455"
"17.10000","8.55092","0.15289"
"17.20000","8.60096","0.15284"
"17.30000","8.65095","0.15745"
"17.40000","8.70099","0.15524"
"17.50000","8.75097","0.15687"
"17.60000","8.80096","0.15962"
"17.70000","8.85100","0.15694"
"17.80000","8.90105","0.15620"
"17.90000","8.95097","0.16184"
"18.00000","9.00096","0.15888"
"18.10000","9.05088","0.15825"
"18.20000","9.10110","0.16301"
"18.30000","9.15103","0.16631"
"18.40000","9.20095","0.16218"
"18.50000","9.25094","0.16446"
"18.60000","9.30104","0.16827"
"18.70000","9.35102","0.16221"
"18.80000","9.40095","0.16546"
"18.90000","9.45093","0.17008"
"19.00000","9.50109","0.16690"
"19.10000","9.55102","0.16752"
"19.20000","9.60100","0.17180"
"19.30000","9.65093","0.16899"
"19.40000","9.70109","0.16800"
"19.50000","9.75102","0.17078"
"19.60000","9.80100","0.17248"
"19.70000","9.85092","0.17199"
"19.80000","9.90091","0.17584"
"19.90000","9.95101","0.17534"
"20.00000","10.00099","0.17354"
"20.10000","10.05098","0.17653"
"20.20000","10.10090","0.17237"
"20.30000","10.15101","0.17790"
"20.40000","10.20093","0.17738"
"20.50000","10.25091","0.17876"
"20.60000","10.30096","0.17889"
"20.70000","10.35094","0.17940"
"20.80000","10.40105","0.17720"
"20.90000","10.45097","0.17966"
"21.00000","10.50101","0.18050"
"21.10000","10.55100","0.18081"
"21.20000","10.60104","0.18157"
"21.30000","10.65103","0.18184"
"21.40000","10.70095","0.18132"
"21.50000","10.75106","0.18149"
"21.60000","10.80104","0.18097"
"21.70000","10.85102","0.18295"
"21.80000","10.90101","0.18381"
"21.90000","10.95099","0.18341"
"22.00000","11.00103","0.18278"
"22.10000","11.05102","0.18472"
"22.20000","11.10100","0.18366"
"22.30000","11.15099","0.18501"
"22.40000","11.20109","0.18631"
"22.50000","11.25107","0.18628"
"22.60000","11.30094","0.18665"
"22.70000","11.35098","0.18636"
"22.80000","11.40097","0.18691"
"22.90000","11.45101","0.18777"
"23.00000","11.50094","0.18783"
"23.10000","11.55092","0.18864"
"23.20000","11.60096","0.18861"
"23.30000","11.65101","0.18837"
"23.40000","11.70099","0.18926"
"23.50000","11.75098","0.19042"
"23.60000","11.80096","0.19023"
"23.70000","11.85106","0.19077"
"23.80000","11.90093","0.19232"
"23.90000","11.95103","0.19084"
"24.00000","12.00096","0.19176"
"24.10000","12.05100","0.19438"
"24.20000","12.10110","0.19304"
"24.30000","12.15109","0.19348"
"24.40000","12.20101","0.19556"
"24.50000","12.25099","0.19259"
"24.60000","12.30104","0.19484"
"24.70000","12.35096","0.19533"
"24.80000","12.40095","0.19426"
"24.90000","12.45099","0.19695"
"25.00000","12.50103","0.19549"
"25.10000","12.55114","0.19787"
"25.20000","12.60088","0.19610"
"25.30000","12.65099","0.19570"
"25.40000","12.70103","0.19679"
"25.50000","12.75107","0.19958"
"25.60000","12.80094","0.19874"
"25.70000","12.85092","0.19953"
"25.80000","12.90097","0.20110"
"25.90000","12.95101","0.19914"
"26.00000","13.00099","0.19937"
"26.10000","13.05098","0.20214"
"26.20000","13.10096","0.20355"
"26.30000","13.15101","0.20183"
"26.40000","13.20093","0.20485"
"26.50000","13.25103","0.20388"
"26.60000","13.30096","0.20518"
"26.70000","13.35094","0.20456"
"26.80000","13.40105","0.20432"
"26.90000","13.45097","0.20656"
"27.00000","13.50095","0.20703"
"27.10000","13.55100","0.20763"
"27.20000","13.60098","0.20749"
"27.30000","13.65115","0.20815"
"27.40000","13.70089","0.21007"
"27.50000","13.75100","0.20901"
"27.60000","13.80104","0.21045"
"27.70000","13.85102","0.21582"
"27.80000","13.90095","0.21070"
"27.90000","13.95105","0.21170"
"28.00000","14.00097","0.21248"
"28.10000","14.05102","0.21160"
"28.20000","14.10100","0.21404"
"28.30000","14.15093","0.21547"
"28.40000","14.20097","0.21463"
"28.50000","14.25101","0.21652"
"28.60000","14.30094","0.21865"
"28.70000","14.35104","0.21530"
"28.80000","14.40097","0.21877"
"28.90000","14.45101","0.21782"
"29.00000","14.50088","0.21812"
"29.10000","14.55092","0.21907"
"29.20000","14.60096","0.22144"
"29.30000","14.65107","0.22023"
"29.40000","14.70093","0.22114"
"29.50000","14.75104","0.22183"
"29.60000","14.80084","0.22287"
"29.70000","14.85100","0.22359"
"29.80000","14.90099","0.22263"
"29.90000","14.95097","0.22474"
"30.00000","15.00095","0.22451"
"30.10000","15.05100","0.22497"
"30.20000","15.10092","0.22500"
"30.30000","15.15109","0.22670"
"30.40000","15.20101","0.22684"
"30.50000","15.25093","0.23052"
"30.60000","15.30098","0.22874"
"30.70000","15.35102","0.22924"
"30.80000","15.40107","0.22813"
"30.90000","15.45099","0.23342"
"31.00000","15.50097","0.23278"
"31.10000","15.55096","0.23348"
"31.20000","15.60094","0.23632"
"31.30000","15.65093","0.23213"
"31.40000","15.70103","0.23658"
"31.50000","15.75101","0.23720"
"31.60000","15.80100","0.23417"
