End date,"8/16/2018"
Specimen label,"D32L50N5d7-6"
Maximum Load,"120.67461",N
Extension at Maximum Load,"24.56800",mm
Maximum Slope (Automatic Young's),"6.12002",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.04174"
"0.10000","0.02822","0.12996"
"0.17600","0.07492","0.25564"
"0.23600","0.11252","0.38149"
"0.30600","0.15270","0.50980"
"0.36600","0.18439","0.63742"
"0.42200","0.21267","0.76462"
"0.50000","0.25147","0.89109"
"0.54400","0.27330","1.01625"
"0.58200","0.29213","1.14420"
"0.60800","0.30511","1.27936"
"0.63800","0.32005","1.40998"
"0.68000","0.34104","1.53784"
"0.71200","0.35694","1.67037"
"0.73600","0.36896","1.80437"
"0.78800","0.39503","1.93004"
"0.82600","0.41404","2.05818"
"0.85200","0.42702","2.18452"
"0.88600","0.44406","2.31471"
"0.92000","0.46092","2.44383"
"0.97400","0.48788","2.57295"
"1.00000","0.50092","2.70370"
"1.02400","0.51287","2.83246"
"1.04800","0.52495","2.95872"
"1.07000","0.53595","3.08439"
"1.10800","0.55491","3.21169"
"1.15200","0.57697","3.33849"
"1.18400","0.59287","3.46425"
"1.21400","0.60800","3.59227"
"1.24800","0.62492","3.72079"
"1.28200","0.64190","3.85496"
"1.31800","0.65996","3.98174"
"1.35600","0.67897","4.11168"
"1.38600","0.69392","4.24536"
"1.42000","0.71090","4.37382"
"1.45400","0.72794","4.50715"
"1.48600","0.74396","4.63702"
"1.53400","0.76800","4.76412"
"1.58000","0.79096","4.89087"
"1.64000","0.82097","5.01677"
"1.71600","0.85900","5.14204"
"1.79200","0.89708","5.26981"
"1.85200","0.92698","5.39500"
"1.90200","0.95191","5.52529"
"1.97000","0.98593","5.65280"
"2.01400","1.00799","5.78387"
"2.05400","1.02796","5.91032"
"2.10400","1.05301","6.03795"
"2.14400","1.07298","6.16383"
"2.18800","1.09493","6.29130"
"2.24400","1.12291","6.42089"
"2.28600","1.14395","6.55029"
"2.32400","1.16291","6.68000"
"2.36200","1.18192","6.80859"
"2.41000","1.20590","6.93438"
"2.44000","1.22102","7.05958"
"2.47800","1.23998","7.18565"
"2.51600","1.25893","7.31980"
"2.53400","1.26790","7.44519"
"2.56000","1.28093","7.57588"
"2.58800","1.29498","7.70248"
"2.62400","1.31286","7.82812"
"2.65000","1.32601","7.95506"
"2.67600","1.33893","8.08587"
"2.71000","1.35591","8.21459"
"2.76400","1.38281","8.34123"
"2.81200","1.40685","8.47252"
"2.86000","1.43094","8.59990"
